
"\n    Timestamp: 2025-05-11T19:06:24.264Z\n    Méthode: GET\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:24.267Z\n    Méthode: GET\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:24.271Z\n    Méthode: GET\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:24.274Z\n    Méthode: GET\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.220Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.229Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.234Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.239Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.243Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.247Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T19:06:58.252Z\n    Méthode: GET\n    URL: /auth\n    IP: ::ffff:127.0.0.1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
